Symbol,time,Date,Open,High,Low,Close,Volume,SMA_HIGH,SMA_LOW,SSL_COLOUR,SSL_SWITCH,ATR,RED_CANDLE,VOLUME_REQ,PRICE_REQ,BASELINE_REQ,TRADE_ENTRY,TRADE_RESULT,PERCENT_CHANGE
TACO,09:30:00,2020-04-06 09:30:00,3.32,3.45,3.23,3.34,120131,3.1275000000009574,3.067000000001212,GREEN,NO,5.314285714285715,NO,YES,YES,YES,YES,TIE,-2.6946107784431095
TAST,09:30:00,2020-04-07 09:30:00,1.89,2.02,1.88,1.94,76922,1.798000000000955,1.7695000000012135,GREEN,NO,3.1328571428571435,NO,YES,YES,YES,YES,LOSS,40.3718703976436
TBIO,09:30:00,2020-04-03 09:30:00,9.09,9.24,9.08,9.19,7756,8.997500000000958,8.919000000001217,GREEN,NO,0.802142857142857,NO,YES,YES,YES,YES,LOSS,2.1821078812373695
TBLT,09:30:00,2020-04-06 09:30:00,0.16,0.1716,0.156,0.1626,2699853,0.1526650000009528,0.1473900000012146,GREEN,NO,1.4406500000000002,NO,YES,YES,YES,YES,TIE,-4.7970479704797055
TCDA,09:30:00,2020-04-07 09:30:00,25.0,25.66,24.81,25.13,51326,24.17400000000097,23.76850000000121,GREEN,NO,2.7284285714285708,NO,YES,YES,YES,YES,LOSS,2.7143141379114315
TCOM,09:30:00,2020-04-06 09:30:00,22.99,23.2,22.82,23.07,539981,21.917000000000986,21.780500000001236,GREEN,NO,3.9021428571428567,NO,YES,YES,YES,YES,TIE,1.6905071521456463
TCPC,09:30:00,2020-04-06 09:30:00,5.47,5.75,5.47,5.67,38215,5.1585000000009895,5.079000000001242,GREEN,NO,4.814285714285715,NO,YES,YES,YES,YES,TIE,-4.232804232804237
TEAM,09:30:00,2020-04-06 09:30:00,133.55,135.68,130.37,133.64,89129,131.20850000000104,130.04850000000118,GREEN,NO,12.980714285714289,NO,YES,YES,YES,YES,TIE,2.0876982939239905
TECH,09:30:00,2020-04-03 09:30:00,189.55,190.41,189.55,189.76,1583,187.6035000000011,186.98300000000125,GREEN,NO,14.986428571428574,NO,YES,YES,YES,YES,LOSS,1.974392465670923
TECH,09:30:00,2020-04-06 09:30:00,191.86,192.88,190.28,192.4,1769,185.39800000000113,184.3035000000013,GREEN,NO,15.181428571428578,NO,YES,YES,YES,YES,TIE,1.086278586278588
TELL,09:30:00,2020-04-02 09:30:00,0.9596,0.98,0.95,0.9605,88526,0.9276900000011488,0.914225000001344,GREEN,NO,20.147928571428565,NO,YES,YES,YES,YES,TIE,5.674128058302955
TELL,09:30:00,2020-04-06 09:30:00,1.21,1.34,1.2,1.28,613417,1.1128350000011489,1.0886700000013445,GREEN,NO,19.61157142857143,NO,YES,YES,YES,YES,TIE,1.5625000000000013
TER,09:30:00,2020-04-06 09:30:00,55.06,56.4,55.06,56.18,67321,52.7995000000011,52.397000000001384,GREEN,NO,17.717285714285715,NO,YES,YES,YES,YES,TIE,5.2509789960840205
TERP,09:30:00,2020-04-06 09:30:00,15.3,15.74,15.14,15.7,36456,14.667500000001128,14.551500000001367,GREEN,NO,7.512142857142857,NO,YES,YES,YES,YES,TIE,1.6560509554140228
TLND,09:30:00,2020-04-06 09:30:00,19.48,19.84,19.48,19.71,2438,18.82900000000112,18.693000000001366,GREEN,NO,1.5157142857142862,NO,YES,YES,YES,YES,WIN,3.845038776545627
TNAV,09:30:00,2020-04-06 09:30:00,4.14,4.15,4.04,4.14,14354,3.9245000000010486,3.8815000000011737,GREEN,NO,24.67857142857143,NO,YES,YES,YES,YES,TIE,6.763285024154595
TNDM,09:30:00,2020-04-06 09:30:00,64.49,65.34,64.08,64.88,66403,61.553000000001056,60.93050000000119,GREEN,NO,17.04785714285714,NO,YES,YES,YES,YES,TIE,3.622071516646129
TPTX,09:30:00,2020-04-03 09:30:00,41.75,42.09,41.1,41.79,44855,41.619000000001066,41.06700000000121,GREEN,NO,3.5778571428571437,NO,YES,YES,YES,YES,LOSS,2.140378764571156
TQQQ,09:30:00,2020-04-03 09:30:00,43.86,44.57,43.1,44.47,2675360,43.35650000000108,42.59950000000124,GREEN,NO,3.385714285714285,NO,YES,YES,YES,YES,LOSS,1.9033698480516554
TRIL,09:30:00,2020-04-06 09:30:00,3.8,3.92,3.76,3.92,92610,3.6135000000009865,3.542000000001294,GREEN,NO,16.900714285714287,NO,YES,YES,YES,YES,TIE,2.040816326530614
TRS,09:30:00,2020-04-06 09:30:00,23.11,23.41,23.11,23.26,4481,22.152000000001156,21.93550000000141,GREEN,NO,16.49857142857143,NO,YES,YES,YES,YES,TIE,-0.42992261392949876
TRUE,09:30:00,2020-04-06 09:30:00,2.17,2.28,2.15,2.23,38309,2.0890000000011493,2.016500000001408,GREEN,NO,3.271428571428572,NO,YES,YES,YES,YES,TIE,-4.035874439461877
TRUP,09:30:00,2020-04-06 09:30:00,25.32,25.74,25.15,25.74,3241,24.489000000001127,24.267500000001412,GREEN,NO,3.2292857142857145,NO,YES,YES,YES,YES,TIE,4.273504273504279
TRVG,09:30:00,2020-04-06 09:30:00,1.38,1.44,1.35,1.43,48606,1.3570000000011082,1.336500000001396,GREEN,NO,3.832142857142857,NO,YES,YES,YES,YES,TIE,-0.6993006993007
TSC,09:30:00,2020-04-06 09:30:00,9.32,9.76,9.32,9.6,4641,8.792500000001109,8.661500000001396,GREEN,NO,2.4876857142857145,NO,YES,YES,YES,YES,TIE,1.4583333333333393
TSEM,09:30:00,2020-04-06 09:30:00,16.04,16.37,16.04,16.34,24584,15.52000000000113,15.398000000001366,GREEN,NO,12.0634,NO,YES,YES,YES,YES,TIE,3.916768665850677
TTD,09:30:00,2020-04-06 09:30:00,169.51,172.19,166.29,170.91,157038,159.37500000000128,157.2375000000017,GREEN,NO,69.02142857142857,NO,YES,YES,YES,YES,TIE,11.017494587794753
TTOO,09:30:00,2020-04-07 09:30:00,0.53,0.54,0.52,0.53,354442,0.5255000000011856,0.512500000001683,GREEN,NO,1.6544571428571426,NO,YES,YES,YES,YES,TIE,-1.8867924528301903
TTWO,09:30:00,2020-04-03 09:30:00,119.34,120.34,118.57,120.26,63544,117.39750000000122,116.80800000000168,GREEN,NO,9.2616,NO,YES,YES,YES,YES,LOSS,1.9253284550141359
TUR,09:30:00,2020-04-06 09:30:00,18.98,19.13,18.98,19.12,17241,18.55000000000117,18.48300000000166,GREEN,NO,18.58071428571429,NO,YES,YES,YES,YES,TIE,-0.313807531380765
TW,09:30:00,2020-04-02 09:30:00,42.9,43.19,42.77,43.08,3432,42.23500000000122,41.90300000000185,GREEN,NO,56.566428571428574,NO,YES,YES,YES,YES,TIE,5.060352831940575
TW,09:30:00,2020-04-06 09:30:00,46.33,46.99,45.87,46.35,32088,45.5510000000012,45.19200000000185,GREEN,NO,56.71214285714286,NO,YES,YES,YES,YES,TIE,3.7971952535059286
TWNK,09:30:00,2020-04-06 09:30:00,11.03,11.25,10.95,11.09,233550,10.3510000000012,10.269500000001852,GREEN,NO,25.96357142857143,NO,YES,YES,YES,YES,TIE,0.5410279531109152
TWST,09:30:00,2020-04-03 09:30:00,30.23,30.38,29.77,30.38,16370,28.237500000001198,27.86600000000186,GREEN,NO,4.429285714285714,NO,YES,YES,YES,YES,LOSS,3.64490266152544
TXN,09:30:00,2020-04-03 09:30:00,102.44,103.16,101.35,103.0,182932,100.82700000000109,100.27650000000179,GREEN,NO,14.534999999999998,NO,YES,YES,YES,YES,LOSS,3.527912621359223
ULTA,09:30:00,2020-04-03 09:30:00,160.34,163.43,159.86,160.91,20561,159.72750000000119,158.1370000000019,GREEN,NO,14.999285714285715,NO,YES,YES,YES,YES,LOSS,2.330384331969069
UPLD,09:30:00,2020-04-03 09:30:00,26.27,26.61,25.44,26.61,2481,25.4135000000011,25.26500000000181,GREEN,NO,4.657857142857141,NO,YES,YES,YES,YES,LOSS,4.376040156761689
