,index,0
1177,PETS,130
1178,PEY,130
1179,PFBC,52
1180,PFF,130
1181,PFG,130
1182,PFLT,130
1183,PFPT,130
1184,PGC,104
1185,PGEN,130
1186,PGNX,130
1187,PGNY,130
1188,PHAS,104
1189,PHIO,52
1190,PHO,52
1191,PHUN,130
1192,PI,130
1193,PID,104
1194,PINC,130
1195,PIRS,130
1196,PKOH,78
1197,PKW,104
1198,PLAB,130
1199,PLAY,130
1200,PLCE,130
1201,PLMR,130
1202,PLUG,130
1203,PLW,52
1204,PLXS,104
1205,PLYA,130
1206,PNFP,130
1207,PNNT,130
1208,PNTG,104
1209,PODD,130
1210,POOL,130
1211,POWI,130
1212,POWL,26
1213,PPBI,130
1214,PPC,130
1215,PPD,130
1216,PRAA,130
1217,PRAH,130
1218,PRDO,130
1219,PRFT,130
1220,PRFZ,130
1221,PRGS,130
1222,PRIM,130
1223,PRNB,130
1224,PRPL,130
1225,PRQR,130
1226,PRTA,130
1227,PRTK,130
1228,PRVB,130
1229,PRVL,52
1230,PS,130
1231,PSEC,130
1232,PSMT,78
1233,PSNL,130
1234,PSTI,104
1235,PSTV,52
1236,PTC,130
1237,PTCT,130
1238,PTE,130
1239,PTEN,130
1240,PTGX,104
1241,PTI,130
1242,PTLA,130
1243,PTON,130
1244,PULM,130
1245,PVAC,130
1246,PWFL,52
1247,PXLW,130
1248,PYPL,130
1249,PZZA,130
1250,QCOM,130
1251,QDEL,130
1252,QFIN,130
1253,QIWI,130
1254,QLYS,130
1255,QMCO,130
1256,QNST,130
1257,QQEW,78
1258,QQQ,130
1259,QQQX,130
1260,QRTEA,130
1261,QRVO,130
1262,QTEC,130
1263,QTNT,130
1264,QTRX,130
1265,QTT,130
1266,QUMU,104
1267,QURE,130
1268,QYLD,130
1269,RADA,130
1270,RARE,130
1271,RAVN,104
1272,RBB,26
1273,RBBN,130
1274,RCEL,130
1275,RCII,130
1276,RCKT,130
1277,RCKY,26
1278,RCM,130
1279,RDFN,130
1280,RDHL,130
1281,RDNT,130
1282,RDUS,130
1283,RDVY,130
1284,RDWR,130
1285,REAL,130
1286,REG,130
1287,REGI,130
1288,REGN,130
1289,REPH,130
1290,RESN,130
1291,RETA,130
1292,REYN,130
1293,RGEN,130
1294,RGLD,130
1295,RGNX,130
1296,RICK,130
1297,RIGL,130
1298,RILY,130
1299,RING,130
1300,RIOT,130
1301,RKDA,26
1302,RMBL,130
1303,RMBS,130
1304,RMR,104
1305,RMTI,130
1306,RNST,130
1307,ROAD,130
1308,ROCK,130
1309,ROIC,130
1310,ROKU,130
1311,ROLL,130
1312,ROSE,130
1313,ROST,130
1314,RP,130
1315,RPAY,130
1316,RPD,130
1317,RRGB,130
1318,RRR,130
1319,RTIX,130
1320,RTLR,130
1321,RTRX,130
1322,RTTR,130
1323,RUBY,130
1324,RUN,130
1325,RUSHA,130
1326,RUTH,130
1327,RVMD,104
1328,RVNC,130
1329,RYAAY,130
1330,RYTM,130
1331,SABR,130
1332,SAFM,130
1333,SAFT,26
1334,SAGE,130
1335,SAIA,130
1336,SALM,104
1337,SANM,130
1338,SASR,130
1339,SATS,130
1340,SAVA,130
1341,SBAC,130
1342,SBBP,104
1343,SBCF,130
1344,SBGI,130
1345,SBLK,130
1346,SBNY,130
1347,SBRA,130
1348,SBSI,104
1349,SBUX,130
1350,SCHL,130
1351,SCHN,130
1352,SCON,104
1353,SCOR,130
1354,SCPL,104
1355,SCSC,130
1356,SCVL,130
1357,SCWX,78
1358,SCYX,130
1359,SCZ,130
1360,SDC,130
1361,SDGR,130
1362,SEAC,130
1363,SEDG,130
1364,SEEL,130
1365,SEIC,130
1366,SELB,130
1367,SESN,130
1368,SFBS,130
1369,SFET,130
1370,SFIX,130
1371,SFM,130
1372,SFNC,130
1373,SGBX,130
1374,SGEN,130
1375,SGH,130
1376,SGLB,52
1377,SGMO,130
1378,SGMS,130
1379,SGRY,130
1380,SHEN,130
1381,SHIP,130
1382,SHOO,130
1383,SHV,130
1384,SHY,130
1385,SIBN,130
1386,SIC,78
1387,SIEN,130
1388,SIGA,130
1389,SIGI,130
1390,SILK,130
1391,SIMO,130
1392,SINA,130
1393,SINT,130
1394,SIRI,130
1395,SIVB,130
1396,SKYW,130
1397,SKYY,130
1398,SLAB,130
1399,SLDB,130
1400,SLGN,130
1401,SLM,130
1402,SLNO,130
1403,SLP,104
1404,SLQD,130
1405,SLRC,130
1406,SLRX,26
1407,SMCI,130
1408,SMED,130
1409,SMH,130
1410,SMPL,130
1411,SMRT,52
1412,SMSI,130
1413,SMTC,130
1414,SNBR,130
1415,SNCR,130
1416,SND,130
1417,SNDL,130
1418,SNDX,104
1419,SNGX,130
1420,SNPS,130
1421,SNSS,130
1422,SNY,130
1423,SOHO,130
1424,SOHU,130
1425,SOLO,26
1426,SOLY,104
1427,SONM,104
1428,SONO,130
1429,SOXX,130
1430,SP,104
1431,SPAR,130
1432,SPCB,130
1433,SPLK,130
1434,SPNE,130
1435,SPNS,104
1436,SPOK,104
1437,SPPI,130
1438,SPRO,26
1439,SPSC,130
1440,SPTN,130
1441,SPWH,130
1442,SPWR,130
1443,SQQQ,130
1444,SRCE,78
1445,SRCL,130
1446,SRDX,78
1447,SRET,130
1448,SRNE,130
1449,SRPT,130
1450,SRRK,78
1451,SSB,130
1452,SSNC,130
1453,SSP,130
1454,SSRM,130
1455,SSSS,78
1456,SSYS,130
1457,STAA,130
1458,STAY,130
1459,STBA,130
1460,STFC,78
1461,STIM,130
1462,STKL,130
1463,STLD,130
1464,STML,130
1465,STMP,130
1466,STNE,130
1467,STOK,104
1468,STRA,130
1469,STRL,130
1470,STX,130
1471,SUNS,52
1472,SUNW,130
1473,SUPN,130
1474,SVC,130
1475,SVMK,130
1476,SWAV,130
1477,SWIR,130
1478,SWKS,130
1479,SWTX,52
1480,SXTC,130
1481,SY,130
1482,SYBT,78
1483,SYKE,130
1484,SYNA,130
1485,SYNC,26
1486,SYNH,130
1487,SYRS,130
1488,TA,78
1489,TACO,130
1490,TAST,130
1491,TBBK,130
1492,TBIO,130
1493,TBK,104
1494,TBLT,130
1495,TBPH,130
1496,TCBI,130
1497,TCBK,104
1498,TCDA,130
1499,TCF,130
1500,TCMD,130
1501,TCOM,130
1502,TCON,26
1503,TCPC,130
1504,TCRD,78
1505,TCX,78
1506,TDIV,104
1507,TEAM,130
1508,TECD,130
1509,TECH,130
1510,TEDU,52
1511,TELL,130
1512,TENB,130
1513,TER,130
1514,TERP,130
1515,TEUM,130
